User_ID,File_Access,Network_Traffic_MB,Anomaly Label,Anomaly_Score,Anomaly
100,172,479,0,1,0
101,475,375,1,1,0
102,355,849,1,1,0
103,742,988,0,-1,1
104,687,513,1,1,0
105,326,31,0,1,0
106,67,616,1,1,0
107,583,996,0,1,0
108,597,850,1,1,0
109,85,595,1,1,0
110,727,21,0,1,0
111,682,831,0,1,0
112,11,622,0,1,0
113,980,813,1,-1,1
114,656,825,0,1,0
115,36,145,1,1,0
116,735,1,1,-1,1
117,149,122,1,1,0
118,192,810,0,1,0
119,754,745,1,1,0
120,878,533,0,1,0
121,359,9,1,1,0
122,838,716,1,1,0
123,731,910,0,1,0
124,677,855,1,1,0
125,936,591,1,1,0
126,98,324,1,1,0
127,747,684,0,1,0
128,942,350,1,1,0
129,872,404,0,1,0
130,491,874,1,1,0
131,319,133,1,1,0
132,429,613,1,1,0
133,510,619,1,1,0
134,12,37,1,-1,1
135,784,978,1,1,0
136,655,773,1,1,0
137,463,917,0,1,0
138,734,346,1,1,0
139,258,801,0,1,0
140,188,590,1,1,0
141,911,562,0,1,0
142,50,790,1,1,0
143,459,164,0,1,0
144,356,80,1,1,0
145,285,129,0,1,0
146,471,228,1,1,0
147,203,573,1,1,0
148,311,458,1,1,0
149,355,175,1,1,0
150,242,154,0,1,0
151,205,398,0,1,0
152,474,610,0,1,0
153,427,444,0,1,0
154,195,582,1,1,0
155,203,261,1,1,0
156,364,513,1,1,0
157,106,782,1,1,0
158,101,989,0,-1,1
159,688,334,1,1,0
160,383,337,0,1,0
161,620,969,1,1,0
162,502,125,1,1,0
163,132,767,0,1,0
164,679,197,1,1,0
165,524,959,0,1,0
166,36,997,0,-1,1
167,583,466,0,1,0
168,403,696,0,1,0
169,696,112,1,1,0
170,600,476,1,1,0
171,997,990,1,-1,1
172,545,191,1,1,0
173,571,800,1,1,0
174,859,721,1,1,0
175,64,748,1,1,0
176,395,980,1,1,0
177,2,360,1,-1,1
178,77,965,1,-1,1
179,811,735,0,1,0
180,586,205,0,1,0
181,373,973,1,1,0
182,474,392,1,1,0
183,623,810,0,1,0
184,227,623,1,1,0
185,240,566,0,1,0
186,934,225,0,1,0
187,525,946,1,1,0
188,686,806,1,1,0
189,657,947,0,1,0
190,665,714,1,1,0
191,349,634,1,1,0
192,208,653,0,1,0
193,416,303,0,1,0
194,907,746,0,1,0
195,119,880,0,1,0
196,432,705,0,1,0
197,560,429,1,1,0
198,826,527,1,1,0
199,678,411,1,1,0
200,990,824,0,-1,1
201,828,731,1,1,0
202,949,89,0,1,0
203,736,284,0,1,0
204,188,499,1,1,0
205,241,406,0,1,0
206,312,127,1,1,0
207,449,658,0,1,0
208,141,98,1,1,0
209,848,947,1,1,0
210,209,747,0,1,0
211,505,521,0,1,0
212,822,18,0,-1,1
213,866,798,1,1,0
214,756,303,0,1,0
215,23,181,1,-1,1
216,520,905,1,1,0
217,315,411,0,1,0
218,727,734,1,1,0
219,513,516,0,1,0
220,514,431,0,1,0
221,391,593,1,1,0
222,758,484,0,1,0
223,171,628,1,1,0
224,487,164,0,1,0
225,718,241,0,1,0
226,807,584,1,1,0
227,452,290,0,1,0
228,181,337,1,1,0
229,841,372,0,1,0
